PC1,PC2,Filename,Full title,Display title,Author,Genre,Publication date,,,,,,,,,,,,,,,,,,
0.015386992,-0.003948637,1659.petty.brief-proceedings.eebo.txt,A brief of proceedings between Sr. Hierom Sankey and Dr. VVilliam Petty with the state of the controversy between them tendered to all indifferent persons.,A Brief of Proceedings Between r. Hierom Sankey and Dr. William Petty,"Petty, William",Royal Society text,1659,,,,,,,,,,,,,,,,,,
-0.043245395,-0.006115106,1660.ashmole.sol-ascendente.eebo.txt,"Sol in ascendente, or, The glorious appearance of Charles the Second, upon the horizon of London, in her horoscopicall sign, Gemini","Sol in Ascendence, or, The Glorious Appearance of Charles the Second","Ashemole, Elias",Royal Society text,1660,,,,,,,,,,,,,,,,,,
0.036708823,-0.020826682,1660.boyle.physico-mechanicall.eebo.txt,"New experiments physico-mechanicall, touching the spring of the air, and its effects (made, for the most part, in a new pneumatical engine) : written by way of letter to the Right Honorable Charles, Lord Vicount of Dungarvan, eldest son to the Earl of Corke / by the Honorable Robert Boyle, Esq.",New Experiments of Physico-Mechanical,"Boyle, Robert",Royal Society text,1660,,,,,,,,,,,,,,,,,,
-0.028037759,0.038327601,1660.evelyn.late-news.eebo.txt,"The late news, or, Message from Bruxels unmasked and His Majesty vindicated from the base calumny and scandal therein fixed on him.","The Late News, or Message from Bruxels Unmasked","Evelyn, John",Royal Society text,1660,,,,,,,,,,,,,,,,,,
-0.015860531,0.003706917,1661.charleton.character-majesty.eebo.txt,"A character of His Most Sacred Majesty, Charles the Second, King of Great Britain, France, and Ireland, defender of the faith, &c. written by Dr. Charleton, physician in ordinary to His Maiestie.",A Character of Charles the Second,"Charleton, Walter",Royal Society text,1661,,,,,,,,,,,,,,,,,,
0.015770687,0.004947985,1661.digby.vegetation-plants.eebo.txt,"A discourse concerning the vegetation of plants. Spoken by Sir Kenelme Digby, at Gresham College, on the 23. of January, 1660. At a meeting of the society for promoting philosophical knowledge by experiments.",A Discourse Concerning the Vegetation of Plants,"Digby, Kenelm",Royal Society text,1661,,,,,,,,,,,,,,,,,,
0.006062986,0.0135045,1661.evelyn.fumifugium.eebo.txt,"Fumifugium, or, The inconveniencie of the aer and smoak of London dissipated together with some remedies humbly proposed by J.E., Esq., to His Sacred Majestie and to the Parliament now assembled.","Fumifugium, or, The Inconvinience of the Air and Smoke of London","Evelyn, John",Royal Society text,1661,,,,,,,,,,,,,,,,,,
-0.025939559,0.004770487,1661.evelyn.panegyric-charles.eebo.txt,"A panegyric to Charles the Second presented to His Majestie the xxxiii. [sic] of April, being the day of his coronation, MDCLXI.",A Panegyric to Charles the Second,"Evelyn, John",Royal Society text,1661,,,,,,,,,,,,,,,,,,
-0.003937883,0.004690528,1661.evelyn.tyrannus.eebo.txt,"Tyrannus, or, The mode in a discourse of sumptuary lawes.","Tyrannus, or the Mode in a discourse of Sumptuary Laws","Evelyn, John",Royal Society text,1661,,,,,,,,,,,,,,,,,,
-0.045106105,-0.007820244,1661.henshaw.triumphant-ceremony.eebo.txt,"On the most triumphant ceremony of His Most Sacred Maiesties coronation, Charles II",On the Most Triumphant Ceremony,"Henshaw, Thomas",Royal Society text,1661,,,,,,,,,,,,,,,,,,
0.027754564,-0.012703012,1661.hooke.boyle-experiment.eebo.txt,"An attempt for the explication of the phaenomena observable in an experiment published by the Honourable Robert Boyle, Esq; in the XXXV. experiment of his epistolical discourse touching the aire. / In confirmation of a former conjecture made by R.H.
",An Attempt for the Explication of the Phenomena Observable by Experiment,"Boyle, Robert",Royal Society text,1661,,,,,,,,,,,,,,,,,,
0.028007324,0.007255778,1661.ward.against-resistance.eebo.txt,"Against resistance of lawful powers a sermon preached at White-Hall, Novemb. Vth, 1661",Against Resistance of Lawful Powers,"Ward, Seth",Royal Society text,1661,,,,,,,,,,,,,,,,,,
0.022696417,-0.024190268,1662.boyle.defence-doctrine.eebo.txt,"A defence of the doctrine touching the spring and weight of the air propos'd by Mr. R. Boyle in his new physico-mechanical experiments, against the objections of Franciscus Linus ; wherewith the objector's funicular hypothesis is also examin'd, by the author of those experiments.",A Defense of the Doctrine Touching the Spring and Weight of the Air,"Boyle, Robert",Royal Society text,1662,,,,,,,,,,,,,,,,,,
0.022781881,-0.005872695,1662.cavendish-w.commanded.eebo.txt,Being commanded by his Excellency the Ld Marquis of New-Castle to publish the following articles for his new course,Being Commanded by his Excellency the Lord Marquis of Newcastle,"Newcatle, William Cavendish",Royal Society text,1662,,,,,,,,,,,,,,,,,,
0.002704215,0.010832673,1662.evelyn.sculptura.eebo.txt,"Sculptura, or, The history, and art of chalcography and engraving in copper with an ample enumeration of the most renowned masters and their works : to which is annexed a new manner of engraving, or mezzo tinto, communicated by His Highness Prince Rupert to the authour of this treatise.",History of Chalcography,"Evelyn, John",Royal Society text,1662,,,,,,,,,,,,,,,,,,
0.010047459,-0.000787021,1662.petty.treatise-taxes.eebo.txt,"A treatise of taxes & contributions shewing the nature and measures of crown-lands, assesments, customs, poll-moneys, lotteries, benevolence, penalties, monopolies, offices, tythes, raising of coins, harth-money, excize, &c. : with several intersperst discourses and digressions concerning warrs, the church, universities, rents and purchases, usury and exchange, banks and Lombards, registries for conveyances, beggars, ensurance, exportation of money, wool, free-ports, coins, housing, liberty of conscience, &c. : the same being frequently applied to the present state and affairs of Ireland.",A Treatise of Taxes and Contributions,"Petty, William",Royal Society text,1662,,,,,,,,,,,,,,,,,,
-0.002446439,-0.008892615,1663.boyle.considerations-philosophy.eebo.txt,"Some considerations touching the vsefvlnesse of experimental natural philosophy propos'd in a familiar discourse to a friend, by way of invitation to the study of it",Some Consideration Touching the Usefulness of Experimental Natural Philosophy,"Boyle, Robert",Royal Society text,1663,,,,,,,,,,,,,,,,,,
